Results for 2025-01-14 00:40:26.500930:
Face 1: bhai (Bounding Box: x=117, y=144, w=75, h=101)
Face 2: amal (Bounding Box: x=434, y=403, w=62, h=75)
Face 3: Unknown (Bounding Box: x=89, y=363, w=172, h=211)
Face 4: marcelo (Bounding Box: x=402, y=124, w=89, h=117)
Face 5: bisna (Bounding Box: x=267, y=125, w=51, h=65)

Results for 2025-01-14 00:41:09.652012:
Face 1: Unknown (Bounding Box: x=108, y=362, w=62, h=84)
Face 2: ramos (Bounding Box: x=536, y=282, w=56, h=79)
Face 3: Unknown (Bounding Box: x=207, y=319, w=66, h=77)
Face 4: Unknown (Bounding Box: x=217, y=205, w=62, h=80)
Face 5: Unknown (Bounding Box: x=309, y=268, w=61, h=77)
Face 6: Unknown (Bounding Box: x=742, y=253, w=59, h=76)
Face 7: Unknown (Bounding Box: x=609, y=206, w=56, h=77)
Face 8: Unknown (Bounding Box: x=811, y=373, w=57, h=78)
Face 9: Unknown (Bounding Box: x=1014, y=149, w=56, h=73)
Face 10: Unknown (Bounding Box: x=1192, y=280, w=59, h=76)
Face 11: Unknown (Bounding Box: x=365, y=125, w=53, h=65)
Face 12: varane (Bounding Box: x=1020, y=330, w=59, h=73)
Face 13: ronaldo (Bounding Box: x=1157, y=133, w=57, h=75)
Face 14: Unknown (Bounding Box: x=449, y=212, w=55, h=74)
Face 15: Unknown (Bounding Box: x=356, y=339, w=63, h=77)
Face 16: Unknown (Bounding Box: x=679, y=104, w=54, h=75)
Face 17: marcelo (Bounding Box: x=894, y=273, w=57, h=79)
Face 18: Unknown (Bounding Box: x=221, y=141, w=60, h=71)
Face 19: Unknown (Bounding Box: x=511, y=131, w=54, h=76)
Face 20: Unknown (Bounding Box: x=111, y=160, w=49, h=73)
Face 21: Unknown (Bounding Box: x=874, y=141, w=54, h=72)
Face 22: Unknown (Bounding Box: x=418, y=331, w=55, h=79)
Face 23: Unknown (Bounding Box: x=50, y=135, w=58, h=85)
Face 24: bisna (Bounding Box: x=419, y=287, w=57, h=73)
Face 25: Unknown (Bounding Box: x=66, y=170, w=48, h=76)
Face 26: Unknown (Bounding Box: x=70, y=104, w=46, h=67)

Frame 1, Face 1: Unknown (Bounding Box: x=254, y=61, w=101, h=149)
Frame 2, Face 1: Unknown (Bounding Box: x=256, y=61, w=101, h=148)
Frame 3, Face 1: Unknown (Bounding Box: x=259, y=61, w=102, h=148)
Frame 4, Face 1: ronaldo (Bounding Box: x=260, y=63, w=103, h=146)
Frame 5, Face 1: Unknown (Bounding Box: x=263, y=63, w=102, h=145)
Frame 6, Face 1: Unknown (Bounding Box: x=265, y=63, w=102, h=143)
Frame 7, Face 1: Unknown (Bounding Box: x=266, y=63, w=100, h=142)
Frame 8, Face 1: Unknown (Bounding Box: x=266, y=63, w=101, h=141)
Frame 9, Face 1: Unknown (Bounding Box: x=267, y=62, w=100, h=142)
Frame 10, Face 1: Unknown (Bounding Box: x=268, y=62, w=101, h=143)
Frame 11, Face 1: Unknown (Bounding Box: x=270, y=62, w=100, h=142)
Frame 12, Face 1: Unknown (Bounding Box: x=271, y=62, w=100, h=141)
Frame 13, Face 1: Unknown (Bounding Box: x=272, y=62, w=100, h=140)
Frame 14, Face 1: Unknown (Bounding Box: x=274, y=64, w=99, h=139)
Frame 15, Face 1: Unknown (Bounding Box: x=277, y=63, w=99, h=140)
Frame 16, Face 1: Unknown (Bounding Box: x=278, y=63, w=99, h=141)
Frame 17, Face 1: Unknown (Bounding Box: x=279, y=63, w=99, h=139)
Frame 18, Face 1: Unknown (Bounding Box: x=280, y=63, w=98, h=139)
Frame 19, Face 1: Unknown (Bounding Box: x=279, y=62, w=99, h=140)
Frame 20, Face 1: Unknown (Bounding Box: x=279, y=62, w=99, h=140)
Frame 21, Face 1: Unknown (Bounding Box: x=279, y=63, w=99, h=140)
Frame 22, Face 1: Unknown (Bounding Box: x=279, y=63, w=99, h=139)
Frame 23, Face 1: Unknown (Bounding Box: x=278, y=62, w=99, h=141)
Frame 24, Face 1: Unknown (Bounding Box: x=277, y=63, w=99, h=142)
Frame 25, Face 1: Unknown (Bounding Box: x=276, y=64, w=100, h=142)
Frame 26, Face 1: Unknown (Bounding Box: x=275, y=64, w=101, h=140)
Frame 27, Face 1: Unknown (Bounding Box: x=276, y=64, w=100, h=139)
Frame 28, Face 1: Unknown (Bounding Box: x=274, y=65, w=101, h=139)
Frame 29, Face 1: Unknown (Bounding Box: x=274, y=65, w=101, h=140)
